recipe_id,ingredient,cuisine
48251,mozzarella cheese,italian
48251,fennel bulb,italian
48251,provolone cheese,italian
48251,crumbled gorgonzola,italian
30191,Fuji Apple,korean
30191,green onions,korean
30191,Gochujang base,korean
30191,soy sauce,korean
30191,ginger,korean
30191,pears,korean
30191,pork,korean
30191,sesame oil,korean
30191,onions,korean
30191,sugar,korean
30191,pepper,korean
30191,garlic,korean
4104,jalapeno chilies,cajun_creole
4104,salt,cajun_creole
4104,peanuts,cajun_creole
4104,red pepper flakes,cajun_creole
4104,garlic powder,cajun_creole
4104,shells,cajun_creole
4104,cajun seasoning,cajun_creole
4104,crab boil,cajun_creole
14000,marsala wine,italian
14000,carrots,italian
14000,nutmeg,italian
14000,unsalted butter,italian
14000,ground black pepper,italian
14000,sugar,italian
14000,salt,italian
32397,sugar,french
32397,grapefruit juice,french
32397,salt,french
32397,fresh lemon juice,french
32397,fresh lime juice,french
32397,pepper,french
32397,dry red wine,french
32397,lemon rind,french
32397,low salt chicken broth,french
32397,water,french
32397,white wine vinegar,french
32397,grapefruit,french
32397,orange rind,french
32397,lime rind,french
32397,fresh orange juice,french
32397,margarine,french
32397,corn starch,french
32397,chicken thighs,french
49630,sugar,vietnamese
49630,napa cabbage,vietnamese
49630,red bell pepper,vietnamese
49630,ground black pepper,vietnamese
49630,rice vermicelli,vietnamese
49630,medium shrimp,vietnamese
49630,lemongrass,vietnamese
49630,cilantro,vietnamese
49630,fresh mint,vietnamese
49630,fish sauce,vietnamese
49630,bibb lettuce,vietnamese
49630,carrots,vietnamese
49630,rice paper,vietnamese
18435,large egg yolks,french
18435,ruby red grapefruit,french
18435,dessert wine,french
18435,sugar,french
22137,mirin,japanese
22137,soy sauce,japanese
22137,sugar,japanese
22137,vegetable oil,japanese
22137,salmon,japanese
35177,ricotta,italian
35177,tomato sauce,italian
35177,spaghetti squash,italian
35177,salt,italian
9048,baking soda,british
9048,vanilla extract,british
9048,lemon juice,british
9048,white sugar,british
9048,shortening,british
9048,butter,british
9048,all-purpose flour,british
9048,corn starch,british
9048,ground cloves,british
9048,raisins,british
9048,chopped walnuts,british
9048,hot water,british
9048,ground cinnamon,british
9048,ground nutmeg,british
9048,salt,british
9048,carrots,british
18156,pepper,italian
18156,lemon,italian
18156,shredded mozzarella cheese,italian
18156,romano cheese,italian
18156,zucchini,italian
18156,salt,italian
18156,olive oil,italian
18156,garlic,italian
18156,bread crumbs,italian
18156,chicken cutlets,italian
18156,non stick spray,italian
31381,extra-virgin olive oil,italian
31381,onions,italian
31381,black pepper,italian
31381,tuna packed in olive oil,italian
31381,salt,italian
31381,Ciabatta rolls,italian
31381,lemon juice,italian
5001,large eggs,french
5001,salt,french
5001,sugar,french
5001,whole milk,french
5001,bittersweet chocolate,french
5001,unflavored gelatin,french
5001,dried apricot,french
5001,fresh lemon juice,french
5001,large egg yolks,french
5001,heavy cream,french
5001,apricots,french
19765,vanilla,mexican
19765,unsalted butter,mexican
19765,all-purpose flour,mexican
19765,salt,mexican
19765,chop fine pecan,mexican
19765,confectioners sugar,mexican
44319,olive oil,italian
44319,sugar,italian
44319,meyer lemon,italian
44319,water,italian
28378,grated orange peel,southern_us
28378,baking powder,southern_us
28378,salt,southern_us
28378,unsalted butter,southern_us
28378,ice cream,southern_us
28378,sour cream,southern_us
28378,yellow corn meal,southern_us
28378,large eggs,southern_us
28378,vanilla extract,southern_us
28378,sugar cubes,southern_us
28378,sugar,southern_us
28378,compote,southern_us
28378,all-purpose flour,southern_us
17344,sugar,italian
17344,coarse salt,italian
17344,fresh rosemary,italian
17344,freshly grated parmesan,italian
17344,warm water,italian
17344,all-purpose flour,italian
17344,table salt,italian
17344,instant yeast,italian
16394,cinnamon,mexican
16394,sugar,mexican
16394,apple pie filling,mexican
16394,butter,mexican
16394,tortillas,mexican
20011,sugar,french
20011,cold water,french
20011,armagnac,french
20011,prunes,french
20011,fresh orange juice,french
23664,sugar,british
23664,salt,british
23664,whole milk,british
23664,baking powder,british
23664,suet,british
23664,all-purpose flour,british
26028,sugar,russian
26028,oil,russian
26028,raisins,russian
26028,baking powder,russian
26028,eggs,russian
26028,all-purpose flour,russian
17212,water,indian
17212,fresh lime juice,indian
17212,sugar,indian
17212,salt,indian
17212,white onion,indian
17212,fresh mint,indian
17212,green chile,indian
17212,cilantro sprigs,indian
3849,sugar,southern_us
3849,baking powder,southern_us
3849,maple syrup,southern_us
3849,baking soda,southern_us
3849,buttermilk,southern_us
3849,sliced green onions,southern_us
3849,chicken breast tenders,southern_us
3849,butter,southern_us
3849,all-purpose flour,southern_us
3849,large eggs,southern_us
3849,salt,southern_us
19176,water,korean
19176,sea salt,korean
19176,sugar,korean
19176,potatoes,korean
19176,onions,korean
19176,red chili powder,korean
19176,sesame seeds,korean
19176,green chilies,korean
19176,red chili peppers,korean
19176,green leaf lettuce,korean
19176,chopped garlic,korean
37146,sugar,japanese
37146,mirin,japanese
37146,kosher salt,japanese
37146,vegetable oil,japanese
37146,soy sauce,japanese
37146,flank steak,japanese
37146,sake,japanese
37146,water,japanese
37146,scallions,japanese
21418,red chili powder,indian
21418,ginger,indian
21418,oil,indian
21418,amchur,indian
21418,green chilies,indian
21418,coriander,indian
21418,tumeric,indian
21418,salt,indian
21418,chopped cilantro,indian
21418,potatoes,indian
21418,cumin seed,indian
21418,asafetida,indian
20057,whole milk yoghurt,indian
20057,onions,indian
20057,kosher salt,indian
20057,all-purpose flour,indian
20057,active dry yeast,indian
20057,ghee,indian
20057,sugar,indian
20057,whole milk,indian
36792,sugar,italian
36792,compote,italian
36792,almonds,italian
36792,shortbread,italian
36792,raspberries,italian
36792,heavy cream,italian
36792,large eggs,italian
29530,milk,french
29530,vanilla,french
29530,sugar,french
29530,large egg yolks,french
21058,baking soda,southern_us
21058,salt,southern_us
21058,baking powder,southern_us
21058,cream cheese,southern_us
21058,unsalted butter,southern_us
21058,all-purpose flour,southern_us
21058,sugar,southern_us
21058,buttermilk,southern_us
21058,corn starch,southern_us
19644,straw mushrooms,chinese
19644,sesame oil,chinese
19644,oyster sauce,chinese
19644,cashew nuts,chinese
19644,sugar,chinese
19644,egg whites,chinese
19644,salt,chinese
19644,shrimp,chinese
19644,water,chinese
19644,ginger,chinese
19644,carrots,chinese
19644,snow peas,chinese
19644,white pepper,chinese
19644,Shaoxing wine,chinese
19644,oil,chinese
19644,corn starch,chinese
34987,cheddar cheese,mexican
34987,corn tortillas,mexican
34987,canola oil,mexican
34987,jalapeno chilies,mexican
34987,reduced sodium canned chicken broth,mexican
34987,pepper,mexican
34987,onions,mexican
34987,salt,mexican
34987,chopped garlic,mexican
40200,chicken broth,mexican
40200,chicken breasts,mexican
40200,cilantro,mexican
40200,scallions,mexican
40200,onions,mexican
40200,kosher salt,mexican
40200,vegetable oil,mexican
40200,fat-free chicken broth,mexican
40200,nonstick spray,mexican
40200,cumin,mexican
40200,tomato sauce,mexican
40200,chili powder,mexican
40200,garlic,mexican
40200,Mexican cheese,mexican
40200,dried oregano,mexican
40200,pepper,mexican
40200,whole wheat tortillas,mexican
40200,salt,mexican
40200,chipotles in adobo,mexican
40200,ground cumin,mexican
41510,cointreau,french
41510,large eggs,french
41510,bittersweet chocolate,french
41510,prunes,french
41510,unsalted butter,french
41510,heavy cream,french
41510,orange zest,french
41510,sugar,french
41510,half & half,french
41510,armagnac,french
41510,vanilla beans,french
41510,creme anglaise,french
41510,grated orange,french
40610,butternut squash,southern_us
40610,cornmeal,southern_us
40610,milk,southern_us
40610,all-purpose flour,southern_us
40610,eggs,southern_us
40610,salt,southern_us
40610,garlic salt,southern_us
40610,ground black pepper,southern_us
40610,oil,southern_us
35652,salt,chinese
35652,ground black pepper,chinese
35652,lard,chinese
35652,grated nutmeg,chinese
35652,szechwan peppercorns,chinese
35652,pork butt,chinese
35314,milk,british
35314,eggs,british
35314,all-purpose flour,british
35314,beef drippings,british
35314,salt,british
40120,fish sauce,korean
40120,green onions,korean
40120,ginger,korean
40120,sweet rice flour,korean
40120,kosher salt,korean
40120,daikon,korean
40120,carrots,korean
40120,water,korean
40120,red pepper flakes,korean
40120,shrimp,korean
40120,sugar,korean
40120,napa cabbage,korean
40120,garlic cloves,korean
36042,granulated sugar,japanese
36042,dipping sauces,japanese
36042,decorating sugars,japanese
36042,all-purpose flour,japanese
36042,large egg yolks,japanese
36042,butter,japanese
36042,large eggs,japanese
36042,salt,japanese
6954,baking soda,chinese
6954,vegetable oil,chinese
6954,corn starch,chinese
6954,sugar,chinese
6954,flour,chinese
6954,rice vinegar,chinese
6954,brown sugar,chinese
6954,reduced sodium soy sauce,chinese
6954,garlic,chinese
6954,water,chinese
6954,boneless skinless chicken breasts,chinese
6954,broccoli,chinese
33579,large egg yolks,thai
33579,salt,thai
33579,whole milk,thai
33579,coconut milk,thai
33579,granulated sugar,thai
33579,corn starch,thai
33579,white bread,thai
33579,pandanus leaf,thai
22930,baking soda,cajun_creole
22930,oil,cajun_creole
22930,whole milk,cajun_creole
22930,confectioners sugar,cajun_creole
22930,sugar,cajun_creole
22930,buttermilk,cajun_creole
22930,bread flour,cajun_creole
22930,active dry yeast,cajun_creole
22930,salt,cajun_creole
19435,milk,korean
19435,salt,korean
19435,warm water,korean
19435,dry yeast,korean
19435,white sugar,korean
19435,white flour,korean
19435,cinnamon,korean
19435,peanuts,korean
19435,dark brown sugar,korean
46568,warm water,italian
46568,flour,italian
46568,flat leaf parsley,italian
46568,olive oil,italian
46568,sea salt,italian
46568,active dry yeast,italian
46568,all purpose unbleached flour,italian
46568,sugar,italian
46568,unsalted butter,italian
46568,garlic,italian
40817,tomatoes,jamaican
40817,sugar,jamaican
40817,lime juice,jamaican
40817,cooking oil,jamaican
40817,paprika,jamaican
40817,salt,jamaican
40817,scallions,jamaican
40817,browning,jamaican
40817,tomato sauce,jamaican
40817,water,jamaican
40817,fresh thyme,jamaican
40817,flour,jamaican
40817,garlic,jamaican
40817,cayenne pepper,jamaican
40817,hot water,jamaican
40817,allspice,jamaican
40817,coconut oil,jamaican
40817,kosher salt,jamaican
40817,hot pepper sauce,jamaican
40817,bell pepper,jamaican
40817,rosemary leaves,jamaican
40817,tomato ketchup,jamaican
40817,thyme,jamaican
40817,chicken,jamaican
40817,brown sugar,jamaican
40817,black pepper,jamaican
40817,habanero hot sauce,jamaican
40817,potatoes,jamaican
40817,ginger,jamaican
40817,yellow onion,jamaican
40817,carrots,jamaican
40817,oregano,jamaican
7601,salt,indian
7601,onions,indian
7601,potatoes,indian
7601,green chilies,indian
7601,cilantro leaves,indian
7601,teas,indian
7601,oil,indian
27122,milk,mexican
27122,butter,mexican
27122,huitlacoche,mexican
27122,vegetable oil,mexican
27122,poblano chiles,mexican
27122,flour,mexican
27122,salt,mexican
27122,chile sauce,mexican
27122,queso fresco,mexican
27122,corn tortillas,mexican
890,garlic,mexican
890,long grain white rice,mexican
890,tomato sauce,mexican
890,lard,mexican
890,chicken broth,mexican
890,salt,mexican
890,plum tomatoes,mexican
890,chili powder,mexican
890,onions,mexican
9231,jalapeno chilies,spanish
9231,orange juice,spanish
9231,onions,spanish
9231,watermelon,spanish
9231,extra-virgin olive oil,spanish
9231,fresh lime juice,spanish
9231,seedless cucumber,spanish
9231,yellow bell pepper,spanish
9231,garlic cloves,spanish
9231,ground black pepper,spanish
9231,salt,spanish
9231,fresh parsley,spanish
11999,baguette,italian
11999,salt,italian
11999,tomatoes,italian
11999,parmesan cheese,italian
11999,fresh basil,italian
11999,garlic,italian
11999,olive oil,italian
11999,"cream cheese, soften",italian
2983,pepper,italian
2983,minced onion,italian
2983,tomatoes with juice,italian
2983,boneless skinless chicken breast halves,italian
2983,eggs,italian
2983,milk,italian
2983,butter,italian
2983,dry bread crumbs,italian
2983,minced garlic,italian
2983,grated parmesan cheese,italian
2983,salt,italian
2983,dried oregano,italian
2983,sugar,italian
2983,olive oil,italian
2983,heavy cream,italian
2983,shredded mozzarella cheese,italian
27577,large eggs,british
27577,salt,british
27577,grated lemon peel,british
27577,water,british
27577,vanilla extract,british
27577,fresh lemon juice,british
27577,sugar,british
27577,fresh blueberries,british
27577,cream cheese,british
27577,unsalted butter,british
27577,pound cake,british
27577,heavy whipping cream,british
10464,green bell pepper,cajun_creole
10464,low sodium chicken broth,cajun_creole
10464,salt,cajun_creole
10464,scallions,cajun_creole
10464,chicken,cajun_creole
10464,water,cajun_creole
10464,cajun seasoning,cajun_creole
10464,yellow onion,cajun_creole
10464,celery,cajun_creole
10464,andouille sausage,cajun_creole
10464,vegetable oil,cajun_creole
10464,all-purpose flour,cajun_creole
10464,garlic cloves,cajun_creole
10464,parsley leaves,cajun_creole
10464,diced tomatoes,cajun_creole
10464,okra,cajun_creole
10464,bay leaf,cajun_creole
39190,ground black pepper,french
39190,purple onion,french
39190,olive oil,french
39190,red wine vinegar,french
39190,plum tomatoes,french
39190,pitted kalamata olives,french
39190,large eggs,french
39190,salt,french
39190,baguette,french
39190,lettuce leaves,french
39190,albacore tuna in water,french
49084,black beans,mexican
49084,1% low-fat milk,mexican
49084,corn tortillas,mexican
49084,hot salsa,mexican
49084,low-fat plain yogurt,mexican
49084,cooked chicken,mexican
49084,salt,mexican
49084,dried oregano,mexican
49084,pepper,mexican
49084,shredded sharp cheddar cheese,mexican
49084,chopped cilantro fresh,mexican
49084,ground cumin,mexican
49084,pitted black olives,mexican
49084,stewed tomatoes,mexican
49084,frozen corn kernels,mexican
49084,sliced green onions,mexican
49328,white pepper,chinese
49328,rice wine,chinese
49328,peanut oil,chinese
49328,sea bass,chinese
49328,white rice vinegar,chinese
49328,ginger,chinese
49328,sugar,chinese
49328,pork loin,chinese
49328,salt,chinese
49328,light soy sauce,chinese
49328,sesame oil,chinese
49328,scallions,chinese
30913,chicken broth,southern_us
30913,water,southern_us
30913,green onions,southern_us
30913,garlic,southern_us
30913,lemon juice,southern_us
30913,fresh parsley,southern_us
30913,white button mushrooms,southern_us
30913,shredded cheddar cheese,southern_us
30913,grated parmesan cheese,southern_us
30913,bacon,southern_us
30913,peanut oil,southern_us
30913,celery,southern_us
30913,shrimp stock,southern_us
30913,pepper,southern_us
30913,unsalted butter,southern_us
30913,parsley,southern_us
30913,cayenne pepper,southern_us
30913,shrimp,southern_us
30913,black pepper,southern_us
30913,vegetables,southern_us
30913,Tabasco Pepper Sauce,southern_us
30913,salt,southern_us
30913,carrots,southern_us
30913,grits,southern_us
26513,seaweed,japanese
26513,salt,japanese
26513,rice,japanese
26513,sugar,japanese
27810,granny smith apples,french
27810,salt,french
27810,unsalted butter,french
27810,sugar,french
27810,ice water,french
27810,large egg whites,french
27810,all-purpose flour,french
24826,unsalted butter,southern_us
24826,cake flour,southern_us
24826,sugar,southern_us
24826,all purpose unbleached flour,southern_us
24826,baking powder,southern_us
24826,salt,southern_us
24826,baking soda,southern_us
24826,buttermilk,southern_us
36519,sugar,indian
36519,pistachios,indian
36519,cashew nuts,indian
36519,milk,indian
36519,gram flour,indian
36519,orange,indian
36519,green cardamom,indian
36519,almonds,indian
36519,ghee,indian
26351,brown sugar,chinese
26351,chicken breasts,chinese
26351,garlic cloves,chinese
26351,low sodium soy sauce,chinese
26351,cooking spray,chinese
26351,salt,chinese
26351,fresh lime juice,chinese
26351,curry powder,chinese
26351,vegetable oil,chinese
26351,red bell pepper,chinese
26351,cooked rice,chinese
26351,peeled fresh ginger,chinese
26351,pineapple juice,chinese
26351,fresh pineapple,chinese
29878,grated parmesan cheese,southern_us
29878,salt,southern_us
29878,butter,southern_us
29878,yellow hominy,southern_us
29878,grits,southern_us
29878,water,southern_us
29878,shredded sharp cheddar cheese,southern_us
10363,pure vanilla extract,french
10363,water,french
10363,large eggs,french
10363,all-purpose flour,french
10363,brown sugar,french
10363,unsalted butter,french
10363,almond extract,french
10363,confectioners sugar,french
10363,sugar,french
10363,granulated sugar,french
10363,salt,french
10363,cream sweeten whip,french
10363,large egg yolks,french
10363,half & half,french
10363,cranberries,french
41290,olive oil,italian
41290,crushed red pepper,italian
41290,capers,italian
41290,ground black pepper,italian
41290,flat leaf parsley,italian
41290,salt and ground black pepper,italian
41290,salt,italian
41290,pitted black olives,italian
41290,garlic,italian
41290,boneless skinless chicken breast halves,italian
42925,pure vanilla extract,russian
42925,large egg whites,russian
42925,salt,russian
42925,powdered sugar,russian
42925,baking soda,russian
42925,lemon juice,russian
42925,peppermint extract,russian
42925,large egg yolks,russian
42925,all-purpose flour,russian
42925,white vinegar,russian
42925,sugar,russian
42925,cookies,russian
42925,sour cream,russian
15661,salt,french
15661,fresh lemon juice,french
15661,lemon wedge,french
15661,fresh herbs,french
15661,grated lemon zest,french
15661,bass fillets,french
15661,olive oil,french
15661,freshly ground pepper,french
15661,herbes de provence,french
26252,heavy cream,french
26252,all-purpose flour,french
26252,unsalted butter,french
26252,vanilla extract,french
26252,bittersweet chocolate,french
26252,egg whites,french
26252,salt,french
26252,light corn syrup,french
26252,confectioners sugar,french
22904,dark rum,southern_us
22904,fresh pineapple,southern_us
22904,brandy,southern_us
22904,carbonated water,southern_us
22904,sugar,southern_us
22904,lemon,southern_us
22904,liqueur,southern_us
22904,green tea,southern_us
22904,champagne,southern_us
4842,sugar,thai
4842,Thai red curry paste,thai
4842,fresh basil,thai
4842,cherry tomatoes,thai
4842,fresh lime juice,thai
4842,rice stick noodles,thai
4842,water,thai
4842,salt,thai
4842,fish sauce,thai
4842,flank steak,thai
4842,fresh asparagus,thai
9843,lime juice,thai
9843,Sriracha,thai
9843,worcestershire sauce,thai
9843,shrimp,thai
9843,sugar,thai
9843,lime,thai
9843,rice noodles,thai
9843,rice vinegar,thai
9843,fish sauce,thai
9843,fresh cilantro,thai
9843,large eggs,thai
9843,garlic,thai
9843,beansprouts,thai
9843,ketchup,thai
9843,peanuts,thai
9843,vegetable oil,thai
9843,scallions,thai
25561,pork,british
25561,finely chopped onion,british
25561,all-purpose flour,british
25561,shortening,british
25561,water,british
25561,apples,british
25561,cold water,british
25561,shredded cheddar cheese,british
25561,dried sage,british
25561,sugar,british
25561,milk,british
25561,salt,british
10381,red chili powder,indian
10381,yoghurt,indian
10381,garlic,indian
10381,cumin,indian
10381,black pepper,indian
10381,paprika,indian
10381,chicken fingers,indian
10381,tumeric,indian
10381,onion powder,indian
10381,salt,indian
10381,garam masala,indian
10381,ginger,indian
10381,lemon juice,indian
32311,sugar,french
32311,frozen pastry puff sheets,french
32311,unsalted butter,french
32311,gala apples,french
25453,plain flour,japanese
25453,amchur,japanese
25453,coriander powder,japanese
25453,salt,japanese
25453,coriander,japanese
25453,sugar,japanese
25453,baking soda,japanese
25453,yoghurt,japanese
25453,oil,japanese
25453,red chili powder,japanese
25453,whole wheat flour,japanese
25453,potatoes,japanese
25453,green chilies,japanese
25453,dough,japanese
25453,mozzarella cheese,japanese
25453,garam masala,japanese
25453,paneer,japanese
25453,onions,japanese
14525,fresh basil,italian
14525,pinenuts,italian
14525,feta cheese,italian
14525,salt,italian
14525,vidalia onion,italian
14525,water,italian
14525,cooking spray,italian
14525,red bell pepper,italian
14525,capers,italian
14525,minced garlic,italian
14525,fresh parmesan cheese,italian
14525,pizza doughs,italian
14525,black pepper,italian
14525,olive oil,italian
14525,yellow bell pepper,italian
14525,cornmeal,italian
26845,green bell pepper,spanish
26845,zucchini,spanish
26845,salt,spanish
26845,cumin,spanish
26845,water,spanish
26845,paprika,spanish
26845,red bell pepper,spanish
26845,pepper,spanish
26845,potatoes,spanish
26845,garlic cloves,spanish
26845,tomatoes,spanish
26845,eggplant,spanish
26845,extra-virgin olive oil,spanish
26845,onions,spanish
47244,baking soda,irish
47244,all-purpose flour,irish
47244,milk,irish
47244,buttermilk,irish
47244,whole wheat flour,irish
47244,salt,irish
47244,vegetable oil,irish
47244,white sugar,irish
40755,sugar,cajun_creole
40755,flour,cajun_creole
40755,butter,cajun_creole
40755,white sugar,cajun_creole
40755,pecan halves,cajun_creole
40755,evaporated milk,cajun_creole
40755,baking powder,cajun_creole
40755,vanilla,cajun_creole
40755,cream of tartar,cajun_creole
40755,honey,cajun_creole
40755,egg yolks,cajun_creole
40755,sprinkles,cajun_creole
40755,brown sugar,cajun_creole
40755,lemon extract,cajun_creole
40755,cinnamon,cajun_creole
40755,salt,cajun_creole
5808,sugar,italian
5808,garlic,italian
5808,fresh mint,italian
5808,ground black pepper,italian
5808,bow-tie pasta,italian
5808,ricotta salata,italian
5808,salt,italian
5808,tomatoes,italian
5808,extra-virgin olive oil,italian
5808,grated lemon zest,italian
17085,self raising flour,filipino
17085,pandan extract,filipino
17085,eggs,filipino
17085,vegetable oil,filipino
17085,cream of tartar,filipino
17085,egg whites,filipino
17085,sugar,filipino
17085,coconut milk,filipino
30782,sugar,italian
30782,egg yolks,italian
30782,all-purpose flour,italian
30782,coconut extract,italian
30782,low-fat buttermilk,italian
30782,extract,italian
30782,chopped pecans,italian
30782,vegetable oil cooking spray,italian
30782,egg whites,italian
30782,vanilla extract,italian
30782,orange rind,italian
30782,light butter,italian
30782,baking soda,italian
30782,kumquats,italian
30782,icing,italian
31872,tomatoes,french
31872,leeks,french
31872,vegetable oil,french
31872,salt,french
31872,beef round,french
31872,ground black pepper,french
31872,shallots,french
31872,extra-virgin olive oil,french
31872,tarragon,french
31872,burgers,french
31872,confit,french
31872,dry red wine,french
31872,brie cheese,french
31872,french bread,french
31872,parsley,french
31872,garlic,french
31872,herbes de provence,french
8843,soy sauce,japanese
8843,mirin,japanese
8843,salt,japanese
8843,carrots,japanese
8843,minced ginger,japanese
8843,Tabasco Pepper Sauce,japanese
8843,scallions,japanese
8843,ketchup,japanese
8843,sesame oil,japanese
8843,peanut oil,japanese
8843,savoy cabbage,japanese
8843,pork chops,japanese
8843,worcestershire sauce,japanese
8843,Chinese egg noodles,japanese
9727,chicken legs,chinese
9727,water,chinese
9727,ginger,chinese
9727,oyster sauce,chinese
9727,soy sauce,chinese
9727,Shaoxing wine,chinese
9727,scallions,chinese
9727,sugar,chinese
9727,black fungus,chinese
9727,salt,chinese
9727,corn starch,chinese
9727,white pepper,chinese
9727,sesame oil,chinese
9727,oil,chinese
48997,pepper,italian
48997,salt,italian
48997,parmesan cheese,italian
48997,angel hair,italian
48997,butter,italian
48997,water,italian
48997,garlic cloves,italian
30728,parmigiano reggiano cheese,italian
30728,pesto,italian
30728,salt,italian
30728,linguine,italian
30728,pepper,italian
42240,white vinegar,indian
42240,fat free less sodium chicken broth,indian
42240,baking potatoes,indian
42240,chopped onion,indian
42240,ground cardamom,indian
42240,black peppercorns,indian
42240,cooking spray,indian
42240,salt,indian
42240,cumin seed,indian
42240,chopped cilantro fresh,indian
42240,sugar,indian
42240,ground red pepper,indian
42240,boneless pork loin,indian
42240,garlic cloves,indian
42240,ground cinnamon,indian
42240,fresh ginger,indian
42240,diced tomatoes,indian
42240,ground coriander,indian
42240,mustard seeds,indian
26290,sugar,chinese
26290,black bean garlic sauce,chinese
26290,soft tofu,chinese
26290,sesame oil,chinese
26290,molasses,chinese
26290,halibut fillets,chinese
26290,peeled fresh ginger,chinese
26290,dark soy sauce,chinese
26290,minced garlic,chinese
26290,regular soy sauce,chinese
26290,green onions,chinese
26290,soy sauce,chinese
26290,water,chinese
26290,Shaoxing wine,chinese
36181,chiles,vietnamese
36181,peanuts,vietnamese
36181,rice noodles,vietnamese
36181,oil,vietnamese
36181,iceberg lettuce,vietnamese
36181,ground ginger,vietnamese
36181,curry powder,vietnamese
36181,green onions,vietnamese
36181,cilantro leaves,vietnamese
36181,asian fish sauce,vietnamese
36181,catfish fillets,vietnamese
36181,sugar,vietnamese
36181,cayenne,vietnamese
36181,garlic,vietnamese
36181,beansprouts,vietnamese
36181,fresh dill,vietnamese
36181,lime juice,vietnamese
36181,shallots,vietnamese
36181,rice vinegar,vietnamese
36181,ground turmeric,vietnamese
36284,sugar,vietnamese
36284,cracked black pepper,vietnamese
36284,chopped fresh mint,vietnamese
36284,green onions,vietnamese
